Date,steps,7_day_avg,30_day_avg,365_day_avg
2020-01-20,528,,,
2020-01-21,5477,,,
2020-01-22,8475,,,
2020-01-23,12982,,,
2020-01-24,8431,,,
2020-01-25,10739,,,
2020-01-26,11890,8360.285714285714,,
2020-01-27,6671,9237.857142857143,,
2020-01-28,6362,9364.285714285714,,
2020-01-29,5685,8965.714285714286,,
2020-01-30,12153,8847.285714285714,,
2020-01-31,13554,9579.142857142857,,
2020-02-01,16405,10388.57142857143,,
2020-02-02,17365,11170.714285714286,,
2020-02-03,8383,11415.285714285714,,
2020-02-04,7752,11613.857142857143,,
2020-02-05,10969,12368.714285714286,,
2020-02-06,7591,11717.0,,
2020-02-07,4682,10449.57142857143,,
2020-02-08,4322,8723.42857142857,,
2020-02-09,2677,6625.142857142857,,
2020-02-10,5396,6198.428571428572,,
2020-02-11,6090,5961.0,,
2020-02-12,5827,5226.428571428572,,
2020-02-13,4353,4763.857142857143,,
2020-02-14,3905,4652.857142857143,,
2020-02-15,3906,4593.428571428572,,
2020-02-16,5143,4945.714285714285,,
2020-02-17,5673,4985.285714285715,,
2020-02-18,5690,4928.142857142857,7635.866666666667,
2020-02-19,6772,5063.142857142857,7844.0,
2020-02-20,5612,5243.0,7848.5,
2020-02-21,9496,6041.714285714285,7882.533333333334,
2020-02-22,14824,7601.428571428572,7943.933333333333,
2020-02-23,6077,7734.857142857143,7865.466666666666,
2020-02-24,8014,8069.285714285715,7774.633333333333,
2020-02-25,477,7324.571428571428,7394.2,
2020-02-26,6032,7218.857142857143,7372.9,
2020-02-27,5446,7195.142857142857,7342.366666666667,
2020-02-28,3970,6405.714285714285,7285.2,
2020-02-29,4597,4944.714285714285,7033.333333333333,
2020-03-01,3210,4535.142857142857,6688.533333333334,
2020-03-02,7820,4507.428571428572,6402.366666666667,
2020-03-03,5001,5153.714285714285,5990.233333333334,
2020-03-04,6406,5207.142857142857,5924.333333333333,
2020-03-05,5862,5266.571428571428,5861.333333333333,
2020-03-06,7066,5708.857142857143,5731.233333333334,
2020-03-07,3613,5568.285714285715,5598.633333333333,
2020-03-08,3395,5594.714285714285,5555.733333333334,
2020-03-09,7128,5495.857142857143,5649.266666666666,
2020-03-10,4975,5492.142857142857,5725.866666666667,
2020-03-11,4987,5289.428571428572,5712.233333333334,
2020-03-12,4544,5101.142857142857,5660.7,
2020-03-13,5569,4887.285714285715,5652.1,
2020-03-14,3960,4936.857142857143,5639.0,
2020-03-15,2423,4798.0,5589.6,
2020-03-16,6641,4728.428571428572,5680.766666666666,
2020-03-17,5155,4754.142857142857,5681.166666666667,
2020-03-18,5888,4882.857142857143,5688.333333333333,
2020-03-19,4445,4868.714285714285,5646.833333333333,
2020-03-20,2933,4492.142857142857,5518.866666666667,
2020-03-21,2046,4218.714285714285,5400.0,
2020-03-22,1555,4094.714285714286,5135.3,
2020-03-23,5050,3867.4285714285716,4809.5,
2020-03-24,9081,4428.285714285715,4909.633333333333,
2020-03-25,11466,5225.142857142857,5024.7,
2020-03-26,4363,5213.428571428572,5154.233333333334,
2020-03-27,10892,6350.428571428572,5316.233333333334,
2020-03-28,15878,8326.42857142857,5663.966666666666,
2020-03-29,3639,8624.142857142857,5652.933333333333,
2020-03-30,5691,8715.714285714286,5689.4,
2020-03-31,5271,8171.428571428572,5758.1,
2020-04-01,3442,7025.142857142857,5612.166666666667,
2020-04-02,8738,7650.142857142857,5736.733333333334,
2020-04-03,8411,7295.714285714285,5803.566666666667,
2020-04-04,3676,5552.571428571428,5730.7,
2020-04-05,10490,6531.285714285715,5844.833333333333,
2020-04-06,8581,6944.142857142857,6010.433333333333,
2020-04-07,4478,6830.857142857143,6046.533333333334,
2020-04-08,4590,6994.857142857143,5961.933333333333,
2020-04-09,9933,7165.571428571428,6127.2,
2020-04-10,5157,6700.714285714285,6132.866666666667,
2020-04-11,11270,7785.571428571428,6357.066666666667,
2020-04-12,6937,7278.0,6402.666666666667,
2020-04-13,10093,7494.0,6607.1,
2020-04-14,3538,7359.714285714285,6644.266666666666,
2020-04-15,2470,7056.857142857143,6505.233333333334,
2020-04-16,4410,6267.857142857143,6480.4,
2020-04-17,2333,5864.428571428572,6361.9,
2020-04-18,0,4254.428571428572,6213.733333333334,
2020-04-19,0,3263.4285714285716,6115.966666666666,
2020-04-20,0,1821.5714285714287,6047.766666666666,
2020-04-21,24,1319.5714285714287,5996.733333333334,
2020-04-22,3465,1461.7142857142858,5943.9,
2020-04-23,3802,1374.857142857143,5767.933333333333,
2020-04-24,6482,1967.5714285714287,5601.8,
2020-04-25,1405,2168.285714285714,5503.2,
2020-04-26,4771,2849.8571428571427,5299.166666666667,
2020-04-27,4805,3536.285714285714,4930.066666666667,
2020-04-28,4936,4238.0,4973.3,
2020-04-29,3544,4249.285714285715,4901.733333333334,
2020-04-30,3915,4265.428571428572,4856.533333333334,
2020-05-01,9274,4664.285714285715,5050.933333333333,
2020-05-02,3635,4982.857142857143,4880.833333333333,
2020-05-03,1303,4487.428571428572,4643.9,
