Day,Keypresses
2020-09-21,19081
2020-09-22,32771
2020-09-23,32065
2020-09-24,34698
2020-09-25,47038
2020-09-26,33592
2020-09-27,22795
2020-09-28,36153
2020-09-29,47589
2020-09-30,41136
2020-10-01,64873
2020-10-02,23081
2020-10-03,53457
2020-10-04,26070
2020-10-05,46862
2020-10-06,43125
2020-10-07,47218
2020-10-08,60890
2020-10-09,51033
2020-10-10,20985
2020-10-11,10693
2020-10-12,27004
2020-10-13,33719
2020-10-14,48366
2020-10-15,18913
2020-10-16,18460
2020-10-17,27109
2020-10-18,41875
2020-10-19,48157
2020-10-20,41288
2020-10-21,41708
2020-10-22,38834
2020-10-23,48908
2020-10-24,15255
2020-10-25,1187
2020-10-26,39858
2020-10-27,53216
2020-10-28,53348
2020-10-29,51793
2020-10-30,43136
2020-11-01,5889
2020-11-02,24101
2020-11-03,19573
2020-11-04,57390
2020-11-05,56325
2020-11-06,50099
2020-11-07,20703
2020-11-08,22499
2020-11-09,41240
2020-11-10,26278
2020-11-11,47443
2020-11-12,53245
2020-11-13,31256
2020-11-14,28265
2020-11-15,26550
2020-11-16,52883
2020-11-17,60147
2020-11-18,56454
2020-11-19,75444
2020-11-20,28035
2020-11-21,18610
2020-11-22,37640
2020-11-23,76313
2020-11-24,7596
2020-11-25,6062
2020-11-26,235
2020-11-27,29750
2020-11-28,121
2020-11-29,33935
2020-11-30,67533
2020-12-01,21187
2020-12-02,43634
2020-12-03,61437
2020-12-04,27145
2020-12-05,35840
2020-12-06,2775
2020-12-07,45303
2020-12-08,16328
2020-12-09,55437
2020-12-10,42108
2020-12-11,55206
2020-12-12,38833
2020-12-13,22636
2020-12-14,36760
2020-12-15,61969
2020-12-16,46458
2020-12-17,40009
2020-12-18,45377
2020-12-19,14964
2020-12-20,32546
2020-12-21,23679
2020-12-22,17360
2020-12-23,724
2020-12-24,5086
2020-12-25,3673
2020-12-26,1059
2020-12-27,2688
2020-12-28,12929
2020-12-29,8479
2020-12-30,2134
2021-01-01,2574
2021-01-02,4974
2021-01-03,22146
2021-01-04,14043
2021-01-05,26258
2021-01-06,18377
2021-01-07,40541
2021-01-08,50284
2021-01-09,30575
2021-01-10,25228
2021-01-11,51070
2021-01-12,32040
2021-01-13,303
2021-01-14,44938
2021-01-15,25531
2021-01-16,19800
2021-01-17,18696
2021-01-18,18641
2021-01-19,29922
2021-01-20,51446
2021-01-21,30810
2021-01-22,58872
2021-01-23,34698
2021-01-24,33805
2021-01-25,64903
2021-01-26,24062
2021-01-27,49039
2021-01-28,46251
2021-01-29,39842
2021-01-30,43334
2021-01-31,27113
2021-02-01,58958
2021-02-02,17985
2021-02-03,50101
2021-02-04,42024
2021-02-05,11856
2021-02-06,3134
2021-02-07,15551
2021-02-08,70591
2021-02-09,47842
