Day,Hour,Keypresses
2020-09-21,15,278
2020-09-21,16,567
2020-09-21,17,1218
2020-09-21,18,3300
2020-09-21,19,3888
2020-09-21,20,2673
2020-09-21,21,1091
2020-09-21,22,4166
2020-09-21,23,1900
2020-09-22,0,862
2020-09-22,13,273
2020-09-22,14,5196
2020-09-22,15,3443
2020-09-22,16,2635
2020-09-22,17,2467
2020-09-22,18,2014
2020-09-22,19,1454
2020-09-22,20,2892
2020-09-22,21,2969
2020-09-22,22,5393
2020-09-22,23,3173
2020-09-23,0,2555
2020-09-23,1,0
2020-09-23,9,323
2020-09-23,10,751
2020-09-23,11,5494
2020-09-23,12,1567
2020-09-23,13,3967
2020-09-23,14,5193
2020-09-23,15,4238
2020-09-23,16,4422
2020-09-23,17,3555
2020-09-23,18,0
2020-09-24,11,0
2020-09-24,12,4758
2020-09-24,13,4126
2020-09-24,14,2876
2020-09-24,15,5152
2020-09-24,16,4498
2020-09-24,17,4344
2020-09-24,18,1996
2020-09-24,19,2181
2020-09-24,20,3101
2020-09-24,22,143
2020-09-24,23,1523
2020-09-25,0,5628
2020-09-25,1,2474
2020-09-25,2,47
2020-09-25,11,5
2020-09-25,12,9953
2020-09-25,13,493
2020-09-25,14,641
2020-09-25,15,5329
2020-09-25,16,4594
2020-09-25,17,1311
2020-09-25,18,4358
2020-09-25,19,5041
2020-09-25,20,961
2020-09-25,21,3133
2020-09-25,22,2766
2020-09-25,23,304
2020-09-26,10,2146
2020-09-26,11,3338
2020-09-26,12,3486
2020-09-26,13,3003
2020-09-26,14,2594
2020-09-26,15,3807
2020-09-26,16,3617
2020-09-26,17,0
2020-09-26,18,0
2020-09-26,19,0
2020-09-26,20,0
2020-09-26,21,1911
2020-09-26,22,4556
2020-09-26,23,5134
2020-09-27,0,2842
2020-09-27,8,1754
2020-09-27,9,2146
2020-09-27,20,6969
2020-09-27,21,5409
2020-09-27,22,1338
2020-09-27,23,2337
2020-09-28,0,46
2020-09-28,11,3369
2020-09-28,12,2752
2020-09-28,13,212
2020-09-28,14,2235
2020-09-28,15,5633
2020-09-28,16,4186
2020-09-28,17,2946
2020-09-28,18,2803
2020-09-28,19,2889
2020-09-28,20,3160
2020-09-28,21,30
2020-09-28,22,4049
2020-09-28,23,1843
2020-09-29,8,3034
2020-09-29,9,4138
2020-09-29,10,4359
2020-09-29,11,4370
2020-09-29,12,4449
2020-09-29,13,5466
2020-09-29,14,3374
2020-09-29,15,2580
2020-09-29,16,3803
2020-09-29,17,1132
2020-09-29,19,1038
2020-09-29,20,4735
2020-09-29,21,2494
2020-09-29,22,2617
2020-09-30,9,461
2020-09-30,10,3802
2020-09-30,11,97
2020-09-30,12,5039
2020-09-30,13,6285
2020-09-30,14,4809
2020-09-30,15,4556
2020-09-30,16,2004
2020-09-30,17,730
2020-09-30,20,222
2020-09-30,21,6097
2020-09-30,22,5082
2020-09-30,23,1952
2020-10-01,0,517
2020-10-01,8,77
2020-10-01,9,2854
2020-10-01,10,741
2020-10-01,11,1500
2020-10-01,12,10716
2020-10-01,13,1801
2020-10-01,14,6685
2020-10-01,15,6399
2020-10-01,16,9360
2020-10-01,17,2153
2020-10-01,18,3276
2020-10-01,19,2937
2020-10-01,20,5195
2020-10-01,21,3856
2020-10-01,22,2244
2020-10-01,23,4562
2020-10-02,0,1292
2020-10-02,10,2694
2020-10-02,11,307
2020-10-02,12,2382
2020-10-02,13,3885
2020-10-02,14,2377
2020-10-02,15,1287
2020-10-02,16,863
2020-10-02,17,2949
2020-10-02,18,143
2020-10-02,21,110
2020-10-02,22,1795
2020-10-02,23,2997
2020-10-03,0,68
2020-10-03,9,0
2020-10-03,10,7452
2020-10-03,11,8742
2020-10-03,12,2344
