,Day,Hour,Keypresses,keypresses_over_last_24_hours
0,2020-09-21,0,0,
1,2020-09-21,1,0,
2,2020-09-21,2,0,
3,2020-09-21,3,0,
4,2020-09-21,4,0,
5,2020-09-21,5,0,
6,2020-09-21,6,0,
7,2020-09-21,7,0,
8,2020-09-21,8,0,
9,2020-09-21,9,0,
10,2020-09-21,10,0,
11,2020-09-21,11,0,
12,2020-09-21,12,0,
13,2020-09-21,13,0,
14,2020-09-21,14,0,
15,2020-09-21,15,278,
16,2020-09-21,16,567,
17,2020-09-21,17,1218,
18,2020-09-21,18,3300,
19,2020-09-21,19,3888,
20,2020-09-21,20,2673,
21,2020-09-21,21,1091,
22,2020-09-21,22,4166,
23,2020-09-21,23,1900,19081.0
24,2020-09-22,0,862,19943.0
25,2020-09-22,1,0,19943.0
26,2020-09-22,2,0,19943.0
27,2020-09-22,3,0,19943.0
28,2020-09-22,4,0,19943.0
29,2020-09-22,5,0,19943.0
30,2020-09-22,6,0,19943.0
31,2020-09-22,7,0,19943.0
32,2020-09-22,8,0,19943.0
33,2020-09-22,9,0,19943.0
34,2020-09-22,10,0,19943.0
35,2020-09-22,11,0,19943.0
36,2020-09-22,12,0,19943.0
37,2020-09-22,13,273,20216.0
38,2020-09-22,14,5196,25412.0
39,2020-09-22,15,3443,28577.0
40,2020-09-22,16,2635,30645.0
41,2020-09-22,17,2467,31894.0
42,2020-09-22,18,2014,30608.0
43,2020-09-22,19,1454,28174.0
44,2020-09-22,20,2892,28393.0
45,2020-09-22,21,2969,30271.0
46,2020-09-22,22,5393,31498.0
47,2020-09-22,23,3173,32771.0
48,2020-09-23,0,2555,34464.0
49,2020-09-23,1,0,34464.0
50,2020-09-23,2,0,34464.0
51,2020-09-23,3,0,34464.0
52,2020-09-23,4,0,34464.0
53,2020-09-23,5,0,34464.0
54,2020-09-23,6,0,34464.0
55,2020-09-23,7,0,34464.0
56,2020-09-23,8,0,34464.0
57,2020-09-23,9,323,34787.0
58,2020-09-23,10,751,35538.0
59,2020-09-23,11,5494,41032.0
60,2020-09-23,12,1567,42599.0
61,2020-09-23,13,3967,46293.0
62,2020-09-23,14,5193,46290.0
63,2020-09-23,15,4238,47085.0
64,2020-09-23,16,4422,48872.0
65,2020-09-23,17,3555,49960.0
66,2020-09-23,18,0,47946.0
67,2020-09-23,19,0,46492.0
68,2020-09-23,20,0,43600.0
69,2020-09-23,21,0,40631.0
70,2020-09-23,22,0,35238.0
71,2020-09-23,23,0,32065.0
72,2020-09-24,0,0,29510.0
73,2020-09-24,1,0,29510.0
74,2020-09-24,2,0,29510.0
75,2020-09-24,3,0,29510.0
76,2020-09-24,4,0,29510.0
77,2020-09-24,5,0,29510.0
78,2020-09-24,6,0,29510.0
79,2020-09-24,7,0,29510.0
80,2020-09-24,8,0,29510.0
81,2020-09-24,9,0,29187.0
82,2020-09-24,10,0,28436.0
83,2020-09-24,11,0,22942.0
84,2020-09-24,12,4758,26133.0
85,2020-09-24,13,4126,26292.0
86,2020-09-24,14,2876,23975.0
87,2020-09-24,15,5152,24889.0
88,2020-09-24,16,4498,24965.0
89,2020-09-24,17,4344,25754.0
90,2020-09-24,18,1996,27750.0
91,2020-09-24,19,2181,29931.0
92,2020-09-24,20,3101,33032.0
93,2020-09-24,21,0,33032.0
94,2020-09-24,22,143,33175.0
95,2020-09-24,23,1523,34698.0
96,2020-09-25,0,5628,40326.0
97,2020-09-25,1,2474,42800.0
98,2020-09-25,2,47,42847.0
99,2020-09-25,3,0,42847.0
100,2020-09-25,4,0,42847.0
101,2020-09-25,5,0,42847.0
102,2020-09-25,6,0,42847.0
103,2020-09-25,7,0,42847.0
104,2020-09-25,8,0,42847.0
105,2020-09-25,9,0,42847.0
106,2020-09-25,10,0,42847.0
107,2020-09-25,11,5,42852.0
108,2020-09-25,12,9953,48047.0
109,2020-09-25,13,493,44414.0
110,2020-09-25,14,641,42179.0
111,2020-09-25,15,5329,42356.0
112,2020-09-25,16,4594,42452.0
113,2020-09-25,17,1311,39419.0
114,2020-09-25,18,4358,41781.0
115,2020-09-25,19,5041,44641.0
116,2020-09-25,20,961,42501.0
117,2020-09-25,21,3133,45634.0
118,2020-09-25,22,2766,48257.0
119,2020-09-25,23,304,47038.0
120,2020-09-26,0,0,41410.0
121,2020-09-26,1,0,38936.0
122,2020-09-26,2,0,38889.0
123,2020-09-26,3,0,38889.0
124,2020-09-26,4,0,38889.0
125,2020-09-26,5,0,38889.0
126,2020-09-26,6,0,38889.0
127,2020-09-26,7,0,38889.0
128,2020-09-26,8,0,38889.0
129,2020-09-26,9,0,38889.0
130,2020-09-26,10,2146,41035.0
131,2020-09-26,11,3338,44368.0
132,2020-09-26,12,3486,37901.0
133,2020-09-26,13,3003,40411.0
134,2020-09-26,14,2594,42364.0
135,2020-09-26,15,3807,40842.0
136,2020-09-26,16,3617,39865.0
137,2020-09-26,17,0,38554.0
