,Date,keypresses,7_day_ma,28_day_ma,365_day_ma,percentile,rank,Weekday
0,2020-09-21,19081,,,,38.853503184713375,481.0,Monday
1,2020-09-22,32771,,,,65.60509554140127,271.0,Tuesday
2,2020-09-23,32065,,,,64.20382165605095,282.0,Wednesday
3,2020-09-24,34698,,,,68.08917197452229,251.5,Thursday
4,2020-09-25,47038,,,,86.62420382165605,106.0,Friday
5,2020-09-26,33592,,,,66.11464968152866,267.0,Saturday
6,2020-09-27,22795,31720.0,,,45.35031847133758,430.0,Sunday
7,2020-09-28,36153,34158.857142857145,,,71.0828025477707,228.0,Monday
8,2020-09-29,47589,36275.71428571428,,,87.38853503184714,100.0,Tuesday
9,2020-09-30,41136,37571.57142857143,,,78.72611464968153,168.0,Wednesday
10,2020-10-01,64873,41882.28571428572,,,98.08917197452229,16.0,Thursday
11,2020-10-02,23081,38459.857142857145,,,45.732484076433124,427.0,Friday
12,2020-10-03,53457,41297.71428571428,,,92.35668789808918,61.0,Saturday
13,2020-10-04,26070,41765.57142857143,,,52.22929936305732,376.0,Sunday
14,2020-10-05,46862,43295.42857142857,,,86.49681528662421,107.0,Monday
15,2020-10-06,43125,42657.71428571428,,,82.03821656050955,142.0,Tuesday
16,2020-10-07,47218,43526.57142857143,,,87.00636942675159,103.0,Wednesday
17,2020-10-08,60890,42957.57142857143,,,96.68789808917198,27.0,Thursday
18,2020-10-09,51033,46950.71428571428,,,90.70063694267516,74.0,Friday
19,2020-10-10,20985,42311.857142857145,,,42.1656050955414,455.0,Saturday
20,2020-10-11,10693,40115.142857142855,,,26.24203821656051,580.0,Sunday
21,2020-10-12,27004,37278.28571428572,,,55.159235668789805,353.0,Monday
22,2020-10-13,33719,35934.57142857143,,,66.36942675159236,265.0,Tuesday
23,2020-10-14,48366,36098.57142857143,,,88.15286624203821,94.0,Wednesday
24,2020-10-15,18913,30101.85714285714,,,38.47133757961784,484.0,Thursday
25,2020-10-16,18460,25448.571428571428,,,37.452229299363054,492.0,Friday
26,2020-10-17,27109,26323.428571428572,,,55.4140127388535,351.0,Saturday
27,2020-10-18,41875,30778.0,36094.67857142857,,80.38216560509555,155.0,Sunday
28,2020-10-19,48157,33799.857142857145,37133.107142857145,,87.77070063694268,97.0,Monday
29,2020-10-20,41288,34881.142857142855,37437.28571428572,,79.36305732484077,163.0,Tuesday
30,2020-10-21,41708,33930.0,37781.67857142857,,80.12738853503186,157.0,Wednesday
31,2020-10-22,38834,36775.857142857145,37929.392857142855,,75.79617834394905,191.0,Thursday
32,2020-10-23,48908,41125.57142857143,37996.17857142857,,88.85350318471338,88.5,Friday
33,2020-10-24,15255,39432.142857142855,37341.28571428572,,32.101910828025474,534.0,Saturday
34,2020-10-25,1187,33619.57142857143,36569.57142857143,,10.70063694267516,702.0,Sunday
35,2020-10-26,39858,32434.0,36701.892857142855,,77.45222929936307,178.0,Monday
36,2020-10-27,53216,34138.0,36902.857142857145,,91.97452229299363,64.0,Tuesday
37,2020-10-28,53348,35800.857142857145,37339.0,,92.22929936305732,62.0,Wednesday
38,2020-10-29,51793,37652.142857142855,36871.857142857145,,91.3375796178344,69.0,Thursday
39,2020-10-30,43136,36827.57142857143,37588.107142857145,,82.16560509554141,141.0,Friday
40,2020-10-31,0,34648.28571428572,35678.92857142857,,2.802547770700637,764.0,Saturday
41,2020-11-01,5889,35320.0,34958.17857142857,,18.343949044585987,642.0,Sunday
42,2020-11-02,24101,33069.0,34145.28571428572,,48.28025477707006,407.0,Monday
43,2020-11-03,19573,28262.85714285714,33304.142857142855,,39.36305732484077,477.0,Tuesday
44,2020-11-04,57390,28840.285714285714,33667.42857142857,,94.90445859872611,41.0,Wednesday
45,2020-11-05,56325,29487.714285714286,33504.392857142855,,94.01273885350318,48.0,Thursday
46,2020-11-06,50099,30482.428571428572,33471.03571428572,,89.93630573248407,80.0,Friday
47,2020-11-07,20703,33440.0,33460.96428571428,,41.65605095541402,459.0,Saturday
48,2020-11-08,22499,35812.857142857145,33882.607142857145,,44.5859872611465,436.0,Sunday
49,2020-11-09,41240,38261.28571428572,34391.03571428572,,79.23566878980893,164.0,Monday
50,2020-11-10,26278,39219.142857142855,34125.28571428572,,53.12101910828025,369.0,Tuesday
51,2020-11-11,47443,37798.142857142855,34092.32142857143,,87.26114649681529,101.0,Wednesday
52,2020-11-12,53245,37358.142857142855,35318.46428571428,,92.10191082802548,63.0,Thursday
53,2020-11-13,31256,34666.28571428572,35775.46428571428,,62.42038216560509,296.0,Friday
54,2020-11-14,28265,35746.57142857143,35816.75,,57.452229299363054,335.0,Saturday
55,2020-11-15,26550,36325.28571428572,35269.42857142857,,53.69426751592356,364.5,Sunday
56,2020-11-16,52883,37988.57142857143,35438.21428571428,,91.71974522292994,66.0,Monday
57,2020-11-17,60147,42827.0,36111.75,,96.17834394904459,31.0,Tuesday
58,2020-11-18,56454,44114.28571428572,36638.392857142855,,94.26751592356688,46.0,Wednesday
59,2020-11-19,75444,47285.57142857143,37945.892857142855,,99.7452229299363,3.0,Thursday
60,2020-11-20,28035,46825.42857142857,37200.42857142857,,57.19745222929936,337.0,Friday
61,2020-11-21,18610,45446.142857142855,37320.25,,37.8343949044586,489.0,Saturday
62,2020-11-22,37640,47030.42857142857,38622.142857142855,,73.75796178343948,207.0,Sunday
63,2020-11-23,76313,50377.57142857143,39924.107142857145,,99.87261146496816,2.0,Monday
64,2020-11-24,7596,42870.28571428572,38294.82142857143,,21.91082802547771,614.0,Tuesday
65,2020-11-25,6062,35671.42857142857,36606.03571428572,,18.85350318471338,638.0,Wednesday
66,2020-11-26,235,24927.285714285714,34764.67857142857,,7.006369426751593,731.0,Thursday
67,2020-11-27,29750,25172.285714285714,34286.607142857145,,60.25477707006369,313.0,Friday
68,2020-11-28,121,22531.0,34290.92857142857,,6.369426751592357,736.0,Saturday
69,2020-11-29,33935,22001.714285714286,35292.57142857143,,66.7515923566879,262.0,Sunday
70,2020-11-30,67533,20747.428571428572,36843.71428571428,,98.98089171974522,9.0,Monday
71,2020-12-01,21187,22689.0,36901.357142857145,,42.80254777070064,450.0,Tuesday
72,2020-12-02,43634,28056.428571428572,36410.07142857143,,82.92993630573248,135.0,Wednesday
73,2020-12-03,61437,36799.57142857143,36592.642857142855,,97.07006369426752,24.0,Thursday
74,2020-12-04,27145,36427.42857142857,35772.857142857145,,55.6687898089172,349.0,Friday
75,2020-12-05,35840,41530.142857142855,36313.46428571428,,70.44585987261146,233.0,Saturday
76,2020-12-06,2775,37078.71428571428,35609.03571428572,,14.26751592356688,674.0,Sunday
77,2020-12-07,45303,33903.0,35754.142857142855,,84.5859872611465,122.0,Monday
78,2020-12-08,16328,33208.857142857145,35398.78571428572,,33.88535031847134,520.0,Tuesday
79,2020-12-09,55437,34895.0,35684.28571428572,,93.7579617834395,50.0,Wednesday
80,2020-12-10,42108,32133.714285714286,35286.53571428572,,81.14649681528662,149.0,Thursday
81,2020-12-11,55206,36142.42857142857,36141.892857142855,,93.63057324840764,51.0,Friday
82,2020-12-12,38833,36570.0,36519.32142857143,,75.6687898089172,192.0,Saturday
83,2020-12-13,22636,39407.28571428572,36379.53571428572,,44.968152866242036,433.0,Sunday
84,2020-12-14,36760,38186.857142857145,35803.71428571428,,71.84713375796179,222.0,Monday
85,2020-12-15,61969,44707.0,35868.78571428572,,97.19745222929936,23.0,Tuesday
86,2020-12-16,46458,43424.28571428572,35511.78571428572,,85.98726114649682,111.0,Wednesday
87,2020-12-17,40009,43124.42857142857,34246.25,,77.57961783439491,177.0,Thursday
88,2020-12-18,45377,41720.28571428572,34865.607142857145,,84.71337579617835,121.0,Friday
89,2020-12-19,14964,38310.42857142857,34735.392857142855,,31.84713375796178,536.0,Saturday
90,2020-12-20,32546,39726.142857142855,34553.46428571428,,65.35031847133757,273.0,Sunday
91,2020-12-21,23679,37857.42857142857,32673.678571428572,,47.00636942675159,417.0,Monday
92,2020-12-22,17360,31484.714285714286,33022.392857142855,,35.54140127388535,507.0,Tuesday
93,2020-12-23,724,24951.285714285714,32831.75,,8.9171974522293,716.0,Wednesday
94,2020-12-24,5086,19962.285714285714,33005.0,,17.070063694267514,652.0,Thursday
95,2020-12-25,3673,14004.57142857143,32073.678571428572,,15.286624203821656,666.0,Friday
96,2020-12-26,1059,12018.142857142857,32107.178571428572,,10.063694267515924,707.0,Saturday
97,2020-12-27,2688,7752.714285714285,30991.214285714286,,14.140127388535031,675.0,Sunday
98,2020-12-28,12929,6217.0,29041.071428571428,,29.426751592356688,555.0,Monday
99,2020-12-29,8479,4948.285714285715,28587.214285714286,,22.802547770700638,607.0,Tuesday
100,2020-12-30,2134,5149.714285714285,27105.071428571428,,12.738853503184714,686.0,Wednesday
101,2020-12-31,0,4423.142857142857,24910.89285714286,,2.802547770700637,764.0,Thursday
